News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
KRL Sempat Gangguan di Stasiun Bekasi-Tambun Pagi Ini,-1,krl sempat gangguan di stasiun bekasi tambun pagi ini,"['krl', 'sempat', 'gangguan', 'di', 'stasiun', 'bekasi', 'tambun', 'pagi', 'ini']","['krl', 'gangguan', 'stasiun', 'bekasi', 'tambun', 'pagi']","['krl', 'ganggu', 'stasiun', 'bekas', 'tambun', 'pagi']",krl ganggu stasiun bekas tambun pagi
BNN dan Interpol Tangkap Buron Sabu Rp 5 T Dewi Astutik,-1,bnn dan interpol tangkap buron sabu rp t dewi astutik,"['bnn', 'dan', 'interpol', 'tangkap', 'buron', 'sabu', 'rp', 't', 'dewi', 'astutik']","['bnn', 'interpol', 'tangkap', 'buron', 'sabu', 'rp', 't', 'dewi', 'astutik']","['bnn', 'interpol', 'tangkap', 'buron', 'sabu', 'rp', 't', 'dewi', 'astutik']",bnn interpol tangkap buron sabu rp t dewi astutik
"Geram Diancam AS, Presiden Venezuela Ogah Damai Kalau Jadi Budak",0,geram diancam as presiden venezuela ogah damai kalau jadi budak,"['geram', 'diancam', 'as', 'presiden', 'venezuela', 'ogah', 'damai', 'kalau', 'jadi', 'budak']","['geram', 'diancam', 'as', 'presiden', 'venezuela', 'ogah', 'damai', 'budak']","['geram', 'ancam', 'as', 'presiden', 'venezuela', 'ogah', 'damai', 'budak']",geram ancam as presiden venezuela ogah damai budak
Video: Penampakan Kondisi Banjir-Longsor di Aceh dari Satelit,-1,video penampakan kondisi banjir longsor di aceh dari satelit,"['video', 'penampakan', 'kondisi', 'banjir', 'longsor', 'di', 'aceh', 'dari', 'satelit']","['video', 'penampakan', 'kondisi', 'banjir', 'longsor', 'aceh', 'satelit']","['video', 'tampak', 'kondisi', 'banjir', 'longsor', 'aceh', 'satelit']",video tampak kondisi banjir longsor aceh satelit
Momen Ikan Hiu Dapat Hadiah Natal Lebih Awal dari Sinterklas di Akuarium Malta,0,momen ikan hiu dapat hadiah natal lebih awal dari sinterklas di akuarium malta,"['momen', 'ikan', 'hiu', 'dapat', 'hadiah', 'natal', 'lebih', 'awal', 'dari', 'sinterklas', 'di', 'akuarium', 'malta']","['momen', 'ikan', 'hiu', 'hadiah', 'natal', 'sinterklas', 'akuarium', 'malta']","['momen', 'ikan', 'hiu', 'hadiah', 'natal', 'sinterklas', 'akuarium', 'malta']",momen ikan hiu hadiah natal sinterklas akuarium malta
Video: BMKG Sebut Hujan Bulanan Turun dalam Sehari di Sumatera,0,video bmkg sebut hujan bulanan turun dalam sehari di sumatera,"['video', 'bmkg', 'sebut', 'hujan', 'bulanan', 'turun', 'dalam', 'sehari', 'di', 'sumatera']","['video', 'bmkg', 'hujan', 'bulanan', 'turun', 'sehari', 'sumatera']","['video', 'bmkg', 'hujan', 'bulan', 'turun', 'hari', 'sumatera']",video bmkg hujan bulan turun hari sumatera
Pekerja di Bogor Tewas Tersambar Petir Saat Perbaiki Gerbang Perumahan,-1,pekerja di bogor tewas tersambar petir saat perbaiki gerbang perumahan,"['pekerja', 'di', 'bogor', 'tewas', 'tersambar', 'petir', 'saat', 'perbaiki', 'gerbang', 'perumahan']","['pekerja', 'bogor', 'tewas', 'tersambar', 'petir', 'perbaiki', 'gerbang', 'perumahan']","['kerja', 'bogor', 'tewas', 'sambar', 'petir', 'baik', 'gerbang', 'rumah']",kerja bogor tewas sambar petir baik gerbang rumah
"Distribusi Logistik Jadi Prioritas, Bima Arya: Pastikan ke Keluarga Terdampak",1,distribusi logistik jadi prioritas bima arya pastikan ke keluarga terdampak,"['distribusi', 'logistik', 'jadi', 'prioritas', 'bima', 'arya', 'pastikan', 'ke', 'keluarga', 'terdampak']","['distribusi', 'logistik', 'prioritas', 'bima', 'arya', 'pastikan', 'keluarga', 'terdampak']","['distribusi', 'logistik', 'prioritas', 'bima', 'arya', 'pasti', 'keluarga', 'dampak']",distribusi logistik prioritas bima arya pasti keluarga dampak
17 Lokasi Kantong Parkir di Sekitaran Monas Saat Acara Reuni 212,0,lokasi kantong parkir di sekitaran monas saat acara reuni,"['lokasi', 'kantong', 'parkir', 'di', 'sekitaran', 'monas', 'saat', 'acara', 'reuni']","['lokasi', 'kantong', 'parkir', 'sekitaran', 'monas', 'acara', 'reuni']","['lokasi', 'kantong', 'parkir', 'sekitar', 'monas', 'acara', 'reuni']",lokasi kantong parkir sekitar monas acara reuni
Wamendagri Pastikan Pemerintah Penuhi Kebutuhan Korban Bencana di Sumatera,1,wamendagri pastikan pemerintah penuhi kebutuhan korban bencana di sumatera,"['wamendagri', 'pastikan', 'pemerintah', 'penuhi', 'kebutuhan', 'korban', 'bencana', 'di', 'sumatera']","['wamendagri', 'pastikan', 'pemerintah', 'penuhi', 'kebutuhan', 'korban', 'bencana', 'sumatera']","['wamendagri', 'pasti', 'perintah', 'penuh', 'butuh', 'korban', 'bencana', 'sumatera']",wamendagri pasti perintah penuh butuh korban bencana sumatera
"Raih Sutami Awards 2025, Kakorlantas Bicara Pentingnya Kolaborasi Demi Keselamatan",0,raih sutami awards kakorlantas bicara pentingnya kolaborasi demi keselamatan,"['raih', 'sutami', 'awards', 'kakorlantas', 'bicara', 'pentingnya', 'kolaborasi', 'demi', 'keselamatan']","['raih', 'sutami', 'awards', 'kakorlantas', 'bicara', 'kolaborasi', 'keselamatan']","['raih', 'sutami', 'awards', 'kakorlantas', 'bicara', 'kolaborasi', 'selamat']",raih sutami awards kakorlantas bicara kolaborasi selamat
"Lalin di 10 Jalan Kawasan Monas Akan Dialihkan Saat Reuni 212, Simak Titiknya",0,lalin di jalan kawasan monas akan dialihkan saat reuni simak titiknya,"['lalin', 'di', 'jalan', 'kawasan', 'monas', 'akan', 'dialihkan', 'saat', 'reuni', 'simak', 'titiknya']","['lalin', 'jalan', 'kawasan', 'monas', 'dialihkan', 'reuni', 'simak', 'titiknya']","['lalin', 'jalan', 'kawasan', 'monas', 'alih', 'reuni', 'simak', 'titik']",lalin jalan kawasan monas alih reuni simak titik
Sidang Netanyahu Ditunda Usai Permohonan Pengampunan ke Presiden Israel,0,sidang netanyahu ditunda usai permohonan pengampunan ke presiden israel,"['sidang', 'netanyahu', 'ditunda', 'usai', 'permohonan', 'pengampunan', 'ke', 'presiden', 'israel']","['sidang', 'netanyahu', 'ditunda', 'permohonan', 'pengampunan', 'presiden', 'israel']","['sidang', 'netanyahu', 'tunda', 'mohon', 'ampun', 'presiden', 'israel']",sidang netanyahu tunda mohon ampun presiden israel
"Bencana di Sumatera, Waka Komisi IV DPR Usul Panja Penyelamatan Hutan",0,bencana di sumatera waka komisi iv dpr usul panja penyelamatan hutan,"['bencana', 'di', 'sumatera', 'waka', 'komisi', 'iv', 'dpr', 'usul', 'panja', 'penyelamatan', 'hutan']","['bencana', 'sumatera', 'waka', 'komisi', 'iv', 'dpr', 'usul', 'panja', 'penyelamatan', 'hutan']","['bencana', 'sumatera', 'waka', 'komisi', 'iv', 'dpr', 'usul', 'panja', 'selamat', 'hutan']",bencana sumatera waka komisi iv dpr usul panja selamat hutan
"Ada Eks Raja OTT KPK, Ini Daftar Pejabat Terbaru Kementerian Haji",0,ada eks raja ott kpk ini daftar pejabat terbaru kementerian haji,"['ada', 'eks', 'raja', 'ott', 'kpk', 'ini', 'daftar', 'pejabat', 'terbaru', 'kementerian', 'haji']","['eks', 'raja', 'ott', 'kpk', 'daftar', 'pejabat', 'terbaru', 'kementerian', 'haji']","['eks', 'raja', 'ott', 'kpk', 'daftar', 'jabat', 'baru', 'menteri', 'haji']",eks raja ott kpk daftar jabat baru menteri haji
Menyelaraskan Orientasi Partai Golkar dengan Program Prioritas Presiden,0,menyelaraskan orientasi partai golkar dengan program prioritas presiden,"['menyelaraskan', 'orientasi', 'partai', 'golkar', 'dengan', 'program', 'prioritas', 'presiden']","['menyelaraskan', 'orientasi', 'partai', 'golkar', 'program', 'prioritas', 'presiden']","['selaras', 'orientasi', 'partai', 'golkar', 'program', 'prioritas', 'presiden']",selaras orientasi partai golkar program prioritas presiden
BPBD DKI Siapkan 1.200 Pompa Air Hadapi Potensi Cuaca Ekstrem Akhir Tahun,0,bpbd dki siapkan pompa air hadapi potensi cuaca ekstrem akhir tahun,"['bpbd', 'dki', 'siapkan', 'pompa', 'air', 'hadapi', 'potensi', 'cuaca', 'ekstrem', 'akhir', 'tahun']","['bpbd', 'dki', 'siapkan', 'pompa', 'air', 'hadapi', 'potensi', 'cuaca', 'ekstrem']","['bpbd', 'dki', 'siap', 'pompa', 'air', 'hadap', 'potensi', 'cuaca', 'ekstrem']",bpbd dki siap pompa air hadap potensi cuaca ekstrem
"Video: Ada Reuni 212 di Monas, Simak Rekayasa Lalin Hari Ini",0,video ada reuni di monas simak rekayasa lalin hari ini,"['video', 'ada', 'reuni', 'di', 'monas', 'simak', 'rekayasa', 'lalin', 'hari', 'ini']","['video', 'reuni', 'monas', 'simak', 'rekayasa', 'lalin']","['video', 'reuni', 'monas', 'simak', 'rekayasa', 'lalin']",video reuni monas simak rekayasa lalin
Video: Rusia Ambil Alih Kota Pokrovsk-Vovchansk Ukraina,0,video rusia ambil alih kota pokrovsk vovchansk ukraina,"['video', 'rusia', 'ambil', 'alih', 'kota', 'pokrovsk', 'vovchansk', 'ukraina']","['video', 'rusia', 'ambil', 'alih', 'kota', 'pokrovsk', 'vovchansk', 'ukraina']","['video', 'rusia', 'ambil', 'alih', 'kota', 'pokrovsk', 'vovchansk', 'ukraina']",video rusia ambil alih kota pokrovsk vovchansk ukraina
"Rapimnas KADIN 2025, Bamsoet Dorong Dunia Usaha Perluas Lapangan Kerja",1,rapimnas kadin bamsoet dorong dunia usaha perluas lapangan kerja,"['rapimnas', 'kadin', 'bamsoet', 'dorong', 'dunia', 'usaha', 'perluas', 'lapangan', 'kerja']","['rapimnas', 'kadin', 'bamsoet', 'dorong', 'dunia', 'usaha', 'perluas', 'lapangan', 'kerja']","['rapimnas', 'kadin', 'bamsoet', 'dorong', 'dunia', 'usaha', 'luas', 'lapang', 'kerja']",rapimnas kadin bamsoet dorong dunia usaha luas lapang kerja
Kuasa Hukum Sebut Ridwan Kamil Bakal Hadiri Panggilan KPK Hari Ini,0,kuasa hukum sebut ridwan kamil bakal hadiri panggilan kpk hari ini,"['kuasa', 'hukum', 'sebut', 'ridwan', 'kamil', 'bakal', 'hadiri', 'panggilan', 'kpk', 'hari', 'ini']","['kuasa', 'hukum', 'ridwan', 'kamil', 'hadiri', 'panggilan', 'kpk']","['kuasa', 'hukum', 'ridwan', 'kamil', 'hadir', 'panggil', 'kpk']",kuasa hukum ridwan kamil hadir panggil kpk
Waka MPR Dorong RUU Pengelolaan Perubahan Iklim: Sejalan Arahan Prabowo,0,waka mpr dorong ruu pengelolaan perubahan iklim sejalan arahan prabowo,"['waka', 'mpr', 'dorong', 'ruu', 'pengelolaan', 'perubahan', 'iklim', 'sejalan', 'arahan', 'prabowo']","['waka', 'mpr', 'dorong', 'ruu', 'pengelolaan', 'perubahan', 'iklim', 'sejalan', 'arahan', 'prabowo']","['waka', 'mpr', 'dorong', 'ruu', 'kelola', 'ubah', 'iklim', 'jalan', 'arah', 'prabowo']",waka mpr dorong ruu kelola ubah iklim jalan arah prabowo
"Rekayasa Lalin Saat Reuni 212 di Monas, Warga Diimbau Hindari Kawasan Monas",0,rekayasa lalin saat reuni di monas warga diimbau hindari kawasan monas,"['rekayasa', 'lalin', 'saat', 'reuni', 'di', 'monas', 'warga', 'diimbau', 'hindari', 'kawasan', 'monas']","['rekayasa', 'lalin', 'reuni', 'monas', 'warga', 'diimbau', 'hindari', 'kawasan', 'monas']","['rekayasa', 'lalin', 'reuni', 'monas', 'warga', 'imbau', 'hindar', 'kawasan', 'monas']",rekayasa lalin reuni monas warga imbau hindar kawasan monas
2.511 Personel Gabungan Kawal Reuni 212 di Silang Monas Hari Ini,1,personel gabungan kawal reuni di silang monas hari ini,"['personel', 'gabungan', 'kawal', 'reuni', 'di', 'silang', 'monas', 'hari', 'ini']","['personel', 'gabungan', 'kawal', 'reuni', 'silang', 'monas']","['personel', 'gabung', 'kawal', 'reuni', 'silang', 'monas']",personel gabung kawal reuni silang monas
Asal Gelondongan Kayu Usai Banjir di Sumut Kini Diusut,-1,asal gelondongan kayu usai banjir di sumut kini diusut,"['asal', 'gelondongan', 'kayu', 'usai', 'banjir', 'di', 'sumut', 'kini', 'diusut']","['gelondongan', 'kayu', 'banjir', 'sumut', 'diusut']","['gelondong', 'kayu', 'banjir', 'sumut', 'usut']",gelondong kayu banjir sumut usut
MenPAN-RB Dorong Ketahanan Siber Jadi Pilar Transformasi Digital Nasional,0,menpan rb dorong ketahanan siber jadi pilar transformasi digital nasional,"['menpan', 'rb', 'dorong', 'ketahanan', 'siber', 'jadi', 'pilar', 'transformasi', 'digital', 'nasional']","['menpan', 'rb', 'dorong', 'ketahanan', 'siber', 'pilar', 'transformasi', 'digital', 'nasional']","['menpan', 'rb', 'dorong', 'tahan', 'siber', 'pilar', 'transformasi', 'digital', 'nasional']",menpan rb dorong tahan siber pilar transformasi digital nasional
Menteri PAN-RB Dukung BNN Akselerasi Program P4GN,0,menteri pan rb dukung bnn akselerasi program pgn,"['menteri', 'pan', 'rb', 'dukung', 'bnn', 'akselerasi', 'program', 'pgn']","['menteri', 'pan', 'rb', 'dukung', 'bnn', 'akselerasi', 'program', 'pgn']","['menteri', 'pan', 'rb', 'dukung', 'bnn', 'akselerasi', 'program', 'pgn']",menteri pan rb dukung bnn akselerasi program pgn
KPK Panggil Ridwan Kamil di Kasus Rugikan Negara Rp 222 M,-1,kpk panggil ridwan kamil di kasus rugikan negara rp m,"['kpk', 'panggil', 'ridwan', 'kamil', 'di', 'kasus', 'rugikan', 'negara', 'rp', 'm']","['kpk', 'panggil', 'ridwan', 'kamil', 'rugikan', 'negara', 'rp', 'm']","['kpk', 'panggil', 'ridwan', 'kamil', 'rugi', 'negara', 'rp', 'm']",kpk panggil ridwan kamil rugi negara rp m
"Dimulai Jam 5 Sore Nanti, Ini Agenda Reuni 212 di Monas",0,dimulai jam sore nanti ini agenda reuni di monas,"['dimulai', 'jam', 'sore', 'nanti', 'ini', 'agenda', 'reuni', 'di', 'monas']","['jam', 'sore', 'agenda', 'reuni', 'monas']","['jam', 'sore', 'agenda', 'reuni', 'monas']",jam sore agenda reuni monas
Mengintip Gang Venus Tambora yang Tak Lagi Gelap,0,mengintip gang venus tambora yang tak lagi gelap,"['mengintip', 'gang', 'venus', 'tambora', 'yang', 'tak', 'lagi', 'gelap']","['mengintip', 'gang', 'venus', 'tambora', 'gelap']","['intip', 'gang', 'venus', 'tambora', 'gelap']",intip gang venus tambora gelap
Penumpang Dorong Sekuriti Stasiun hingga Hampir Tertabrak KRL Ternyata ODGJ,-1,penumpang dorong sekuriti stasiun hingga hampir tertabrak krl ternyata odgj,"['penumpang', 'dorong', 'sekuriti', 'stasiun', 'hingga', 'hampir', 'tertabrak', 'krl', 'ternyata', 'odgj']","['penumpang', 'dorong', 'sekuriti', 'stasiun', 'tertabrak', 'krl', 'odgj']","['tumpang', 'dorong', 'sekuriti', 'stasiun', 'tabrak', 'krl', 'odgj']",tumpang dorong sekuriti stasiun tabrak krl odgj
Kasus Korupsi Kuota Haji Bikin Penyidik KPK Terbang ke Arab Saudi,-1,kasus korupsi kuota haji bikin penyidik kpk terbang ke arab saudi,"['kasus', 'korupsi', 'kuota', 'haji', 'bikin', 'penyidik', 'kpk', 'terbang', 'ke', 'arab', 'saudi']","['korupsi', 'kuota', 'haji', 'bikin', 'penyidik', 'kpk', 'terbang', 'arab', 'saudi']","['korupsi', 'kuota', 'haji', 'bikin', 'sidik', 'kpk', 'terbang', 'arab', 'saudi']",korupsi kuota haji bikin sidik kpk terbang arab saudi
KLH Bakal Tinjau Ulang Izin 8 Perusahaan di Aceh-Sumut-Sumbar,0,klh bakal tinjau ulang izin perusahaan di aceh sumut sumbar,"['klh', 'bakal', 'tinjau', 'ulang', 'izin', 'perusahaan', 'di', 'aceh', 'sumut', 'sumbar']","['klh', 'tinjau', 'ulang', 'izin', 'perusahaan', 'aceh', 'sumut', 'sumbar']","['klh', 'tinjau', 'ulang', 'izin', 'usaha', 'aceh', 'sumut', 'sumbar']",klh tinjau ulang izin usaha aceh sumut sumbar
Kisah Pemotor di Cibinong Kena Batunya karena Ngeyel Lawan Arah,-1,kisah pemotor di cibinong kena batunya karena ngeyel lawan arah,"['kisah', 'pemotor', 'di', 'cibinong', 'kena', 'batunya', 'karena', 'ngeyel', 'lawan', 'arah']","['kisah', 'pemotor', 'cibinong', 'kena', 'batunya', 'ngeyel', 'lawan', 'arah']","['kisah', 'motor', 'cibinong', 'kena', 'batu', 'ngeyel', 'lawan', 'arah']",kisah motor cibinong kena batu ngeyel lawan arah
"Truk Pecah Ban di Jl Letjen S Parman Arah Slipi, Lalin Macet",-1,truk pecah ban di jl letjen s parman arah slipi lalin macet,"['truk', 'pecah', 'ban', 'di', 'jl', 'letjen', 's', 'parman', 'arah', 'slipi', 'lalin', 'macet']","['truk', 'pecah', 'ban', 'jl', 'letjen', 's', 'parman', 'arah', 'slipi', 'lalin', 'macet']","['truk', 'pecah', 'ban', 'jl', 'letjen', 's', 'parman', 'arah', 'slip', 'lalin', 'macet']",truk pecah ban jl letjen s parman arah slip lalin macet
4 Titik Jalan Aceh Utara-Bener Meriah Dibuka Lagi Usai Longsor,1,titik jalan aceh utara bener meriah dibuka lagi usai longsor,"['titik', 'jalan', 'aceh', 'utara', 'bener', 'meriah', 'dibuka', 'lagi', 'usai', 'longsor']","['titik', 'jalan', 'aceh', 'utara', 'bener', 'meriah', 'dibuka', 'longsor']","['titik', 'jalan', 'aceh', 'utara', 'bener', 'riah', 'buka', 'longsor']",titik jalan aceh utara bener riah buka longsor
Video: Kisah Pasutri 22 Tahun Hidup di Dasar Jurang Mojokerto,-1,video kisah pasutri tahun hidup di dasar jurang mojokerto,"['video', 'kisah', 'pasutri', 'tahun', 'hidup', 'di', 'dasar', 'jurang', 'mojokerto']","['video', 'kisah', 'pasutri', 'hidup', 'dasar', 'jurang', 'mojokerto']","['video', 'kisah', 'pasutri', 'hidup', 'dasar', 'jurang', 'mojokerto']",video kisah pasutri hidup dasar jurang mojokerto
"Banjir di Sumatera Berangsur Surut, Gelondongan Kayu Mulai Dievakuasi",1,banjir di sumatera berangsur surut gelondongan kayu mulai dievakuasi,"['banjir', 'di', 'sumatera', 'berangsur', 'surut', 'gelondongan', 'kayu', 'mulai', 'dievakuasi']","['banjir', 'sumatera', 'berangsur', 'surut', 'gelondongan', 'kayu', 'dievakuasi']","['banjir', 'sumatera', 'angsur', 'surut', 'gelondong', 'kayu', 'evakuasi']",banjir sumatera angsur surut gelondong kayu evakuasi
5 Arahan Prabowo Usai Tinjau Bencana di Sumatera,0,arahan prabowo usai tinjau bencana di sumatera,"['arahan', 'prabowo', 'usai', 'tinjau', 'bencana', 'di', 'sumatera']","['arahan', 'prabowo', 'tinjau', 'bencana', 'sumatera']","['arah', 'prabowo', 'tinjau', 'bencana', 'sumatera']",arah prabowo tinjau bencana sumatera
Video: Venezuela Tuding AS Berniat Merebut Cadangan Minyak Negara,0,video venezuela tuding as berniat merebut cadangan minyak negara,"['video', 'venezuela', 'tuding', 'as', 'berniat', 'merebut', 'cadangan', 'minyak', 'negara']","['video', 'venezuela', 'tuding', 'as', 'berniat', 'merebut', 'cadangan', 'minyak', 'negara']","['video', 'venezuela', 'tuding', 'as', 'niat', 'rebut', 'cadang', 'minyak', 'negara']",video venezuela tuding as niat rebut cadang minyak negara
"Muncul Gelondongan Kayu Saat Bencana Sumatera, PKB Kaji Pansus Pembalakan Liar",0,muncul gelondongan kayu saat bencana sumatera pkb kaji pansus pembalakan liar,"['muncul', 'gelondongan', 'kayu', 'saat', 'bencana', 'sumatera', 'pkb', 'kaji', 'pansus', 'pembalakan', 'liar']","['muncul', 'gelondongan', 'kayu', 'bencana', 'sumatera', 'pkb', 'kaji', 'pansus', 'pembalakan', 'liar']","['muncul', 'gelondong', 'kayu', 'bencana', 'sumatera', 'pkb', 'kaji', 'pansus', 'bala', 'liar']",muncul gelondong kayu bencana sumatera pkb kaji pansus bala liar
TNI AU Hujankan Heli Box Bantuan Makanan untuk Pengungsi di Tapanuli,1,tni au hujankan heli box bantuan makanan untuk pengungsi di tapanuli,"['tni', 'au', 'hujankan', 'heli', 'box', 'bantuan', 'makanan', 'untuk', 'pengungsi', 'di', 'tapanuli']","['tni', 'au', 'hujankan', 'heli', 'box', 'bantuan', 'makanan', 'pengungsi', 'tapanuli']","['tni', 'au', 'hujan', 'heli', 'box', 'bantu', 'makan', 'ungsi', 'tapanuli']",tni au hujan heli box bantu makan ungsi tapanuli
"Bandar Sabu di Riau Dimiskinkan, Aset Miliaran Disita",1,bandar sabu di riau dimiskinkan aset miliaran disita,"['bandar', 'sabu', 'di', 'riau', 'dimiskinkan', 'aset', 'miliaran', 'disita']","['bandar', 'sabu', 'riau', 'dimiskinkan', 'aset', 'miliaran', 'disita']","['bandar', 'sabu', 'riau', 'miskin', 'aset', 'miliar', 'sita']",bandar sabu riau miskin aset miliar sita
"Video: Kakak Tikam Adik hingga Tewas di Makassar, Pelaku Diburu",-1,video kakak tikam adik hingga tewas di makassar pelaku diburu,"['video', 'kakak', 'tikam', 'adik', 'hingga', 'tewas', 'di', 'makassar', 'pelaku', 'diburu']","['video', 'kakak', 'tikam', 'adik', 'tewas', 'makassar', 'pelaku', 'diburu']","['video', 'kakak', 'tikam', 'adik', 'tewas', 'makassar', 'laku', 'buru']",video kakak tikam adik tewas makassar laku buru
Anomali Hujan Sebulan Tumpah dalam Sehari di Sumatera Diungkap BMKG,0,anomali hujan sebulan tumpah dalam sehari di sumatera diungkap bmkg,"['anomali', 'hujan', 'sebulan', 'tumpah', 'dalam', 'sehari', 'di', 'sumatera', 'diungkap', 'bmkg']","['anomali', 'hujan', 'sebulan', 'tumpah', 'sehari', 'sumatera', 'diungkap', 'bmkg']","['anomali', 'hujan', 'bulan', 'tumpah', 'hari', 'sumatera', 'ungkap', 'bmkg']",anomali hujan bulan tumpah hari sumatera ungkap bmkg
"Video: Kondisi Agam Sumbar Luluh Lantak Terbenam Lumpur, 120 Orang Tewas",-1,video kondisi agam sumbar luluh lantak terbenam lumpur orang tewas,"['video', 'kondisi', 'agam', 'sumbar', 'luluh', 'lantak', 'terbenam', 'lumpur', 'orang', 'tewas']","['video', 'kondisi', 'agam', 'sumbar', 'luluh', 'lantak', 'terbenam', 'lumpur', 'orang', 'tewas']","['video', 'kondisi', 'agam', 'sumbar', 'luluh', 'lantak', 'benam', 'lumpur', 'orang', 'tewas']",video kondisi agam sumbar luluh lantak benam lumpur orang tewas
4 Kabupaten di Aceh Masih Terisolir Imbas Jalan Putus Dihantam Banjir Bandang,-1,kabupaten di aceh masih terisolir imbas jalan putus dihantam banjir bandang,"['kabupaten', 'di', 'aceh', 'masih', 'terisolir', 'imbas', 'jalan', 'putus', 'dihantam', 'banjir', 'bandang']","['kabupaten', 'aceh', 'terisolir', 'imbas', 'jalan', 'putus', 'dihantam', 'banjir', 'bandang']","['kabupaten', 'aceh', 'isolir', 'imbas', 'jalan', 'putus', 'hantam', 'banjir', 'bandang']",kabupaten aceh isolir imbas jalan putus hantam banjir bandang
Hari Pencegahan Polusi 2 Desember: Tujuan dan Cara Merayakan,0,hari pencegahan polusi desember tujuan dan cara merayakan,"['hari', 'pencegahan', 'polusi', 'desember', 'tujuan', 'dan', 'cara', 'merayakan']","['pencegahan', 'polusi', 'desember', 'tujuan', 'merayakan']","['cegah', 'polusi', 'desember', 'tuju', 'raya']",cegah polusi desember tuju raya
Berbondong-bondong Warga Israel Daftar Jadi Warga Portugal,0,berbondong bondong warga israel daftar jadi warga portugal,"['berbondong', 'bondong', 'warga', 'israel', 'daftar', 'jadi', 'warga', 'portugal']","['berbondong', 'bondong', 'warga', 'israel', 'daftar', 'warga', 'portugal']","['bondong', 'bondong', 'warga', 'israel', 'daftar', 'warga', 'portugal']",bondong bondong warga israel daftar warga portugal
"Jembatan Putus, Warga Aceh Terpaksa Menyeberang Sungai Pakai Perahu",-1,jembatan putus warga aceh terpaksa menyeberang sungai pakai perahu,"['jembatan', 'putus', 'warga', 'aceh', 'terpaksa', 'menyeberang', 'sungai', 'pakai', 'perahu']","['jembatan', 'putus', 'warga', 'aceh', 'terpaksa', 'menyeberang', 'sungai', 'pakai', 'perahu']","['jembatan', 'putus', 'warga', 'aceh', 'paksa', 'seberang', 'sungai', 'pakai', 'perahu']",jembatan putus warga aceh paksa seberang sungai pakai perahu
"Rumah Ambruk di Puncak Bogor Usai Hujan Deras, Penghuni Mengungsi",-1,rumah ambruk di puncak bogor usai hujan deras penghuni mengungsi,"['rumah', 'ambruk', 'di', 'puncak', 'bogor', 'usai', 'hujan', 'deras', 'penghuni', 'mengungsi']","['rumah', 'ambruk', 'puncak', 'bogor', 'hujan', 'deras', 'penghuni', 'mengungsi']","['rumah', 'ambruk', 'puncak', 'bogor', 'hujan', 'deras', 'huni', 'ungsi']",rumah ambruk puncak bogor hujan deras huni ungsi
Video: BMKG Prediksi Curah Hujan Tinggi Guyur Kaltim-Pulau Jawa saat Nataru,-1,video bmkg prediksi curah hujan tinggi guyur kaltim pulau jawa saat nataru,"['video', 'bmkg', 'prediksi', 'curah', 'hujan', 'tinggi', 'guyur', 'kaltim', 'pulau', 'jawa', 'saat', 'nataru']","['video', 'bmkg', 'prediksi', 'curah', 'hujan', 'guyur', 'kaltim', 'pulau', 'jawa', 'nataru']","['video', 'bmkg', 'prediksi', 'curah', 'hujan', 'guyur', 'kaltim', 'pulau', 'jawa', 'nataru']",video bmkg prediksi curah hujan guyur kaltim pulau jawa nataru
"Tanah Longsor Tenggelamkan Kapal di Pelabuhan Peru, 12 Orang Tewas",-1,tanah longsor tenggelamkan kapal di pelabuhan peru orang tewas,"['tanah', 'longsor', 'tenggelamkan', 'kapal', 'di', 'pelabuhan', 'peru', 'orang', 'tewas']","['tanah', 'longsor', 'tenggelamkan', 'kapal', 'pelabuhan', 'peru', 'orang', 'tewas']","['tanah', 'longsor', 'tenggelam', 'kapal', 'labuh', 'peru', 'orang', 'tewas']",tanah longsor tenggelam kapal labuh peru orang tewas
Video: BMKG Sudah Beri Peringatan 8 Hari Sebelum Bencana di Sumatera,-1,video bmkg sudah beri peringatan hari sebelum bencana di sumatera,"['video', 'bmkg', 'sudah', 'beri', 'peringatan', 'hari', 'sebelum', 'bencana', 'di', 'sumatera']","['video', 'bmkg', 'peringatan', 'bencana', 'sumatera']","['video', 'bmkg', 'ingat', 'bencana', 'sumatera']",video bmkg ingat bencana sumatera
Video: Kemunculan Lutung Jawa Bikin Heboh Warga Depok,0,video kemunculan lutung jawa bikin heboh warga depok,"['video', 'kemunculan', 'lutung', 'jawa', 'bikin', 'heboh', 'warga', 'depok']","['video', 'kemunculan', 'lutung', 'jawa', 'bikin', 'heboh', 'warga', 'depok']","['video', 'muncul', 'lutung', 'jawa', 'bikin', 'heboh', 'warga', 'depok']",video muncul lutung jawa bikin heboh warga depok
Trump Wanti-wanti Israel Tidak 'Campur Tangan' di Suriah,0,trump wanti wanti israel tidak campur tangan di suriah,"['trump', 'wanti', 'wanti', 'israel', 'tidak', 'campur', 'tangan', 'di', 'suriah']","['trump', 'wanti', 'wanti', 'israel', 'campur', 'tangan', 'suriah']","['trump', 'wanti', 'wanti', 'israel', 'campur', 'tangan', 'suriah']",trump wanti wanti israel campur tangan suriah
